Problem Number;Problem Change Date+Time;Problem Sub Status;Problem Status;Problem Latest Impact;Problem Involved ST Org line 3;Problem Involved ST Function Div;Problem Involved Owner ST;Product;Country;Problem Involved Action Owner Country;Problem Involved Action Owner First Name
1-165554831;2012-01-18T08:52:43+01:00;Closed;Completed;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-172473423;2007-05-10T15:21:54+01:00;In Progress;Accepted;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-172473423;2009-12-02T14:24:33+01:00;Wait;Accepted;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-172473423;2011-09-03T06:10:59+01:00;In Progress;Accepted;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-172473423;2012-01-18T08:20:53+01:00;In Progress;Accepted;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-172473423;2012-01-18T08:21:10+01:00;Closed;Completed;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-182640781;2007-07-25T13:21:05+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;2009-12-02T14:24:32+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;2010-08-25T10:13:01+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;2011-09-05T08:24:13+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD681;se;Sweden;Niklas
1-182640781;2011-11-14T16:10:25+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;2012-01-03T11:30:35+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;2012-01-03T11:31:53+01:00;Closed;Completed;Medium;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-230541365;2008-05-07T17:58:51+01:00;In Progress;Accepted;High;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;2008-10-06T15:44:37+01:00;In Progress;Accepted;High;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;2009-12-02T14:24:34+01:00;Wait;Accepted;High;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;2011-09-01T23:27:50+01:00;In Progress;Accepted;High;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;2011-09-01T23:27:55+01:00;In Progress;Accepted;High;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;2012-01-20T07:53:32+01:00;In Progress;Accepted;High;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-230541365;2012-01-20T07:53:35+01:00;Closed;Completed;High;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-236817141;2008-06-04T11:02:18+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G167 2nd;PROD681;cn;Sweden;Tomas
1-236817141;2009-12-02T14:24:34+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G167 2nd;PROD681;cn;Sweden;Tomas
1-236817141;2010-08-25T10:06:45+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_2;G167 2nd;PROD681;cn;Sweden;Tomas
1-236817141;2011-09-03T07:02:11+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD681;cn;Sweden;Tomas
1-236817141;2011-11-14T16:09:27+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G167 2nd;PROD681;cn;Sweden;Niklas
1-236817141;2012-01-05T14:08:18+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD681;cn;Sweden;Tomas
1-236817141;2012-01-05T14:09:00+01:00;Closed;Completed;Medium;Org line A2;A2_2;M1 2nd;PROD681;cn;Sweden;Tomas
1-270399977;2008-11-13T09:43:32+01:00;In Progress;Accepted;High;Org line V7n;;V32 2nd;PROD542;nl;Netherlands;Juan
1-270399977;2012-01-30T10:56:24+01:00;In Progress;Accepted;High;Org line V7n;;V32 2nd;PROD542;nl;Netherlands;Juan
1-270399977;2012-01-30T11:12:05+01:00;In Progress;Accepted;High;Org line V7n;;V32 2nd;PROD542;nl;Netherlands;Juan
1-270399977;2012-02-16T14:52:16+01:00;Awaiting Assignment;Queued;High;Org line V7n;;V32 2nd;PROD542;nl;Netherlands;Earl
1-270399977;2012-02-16T15:09:17+01:00;In Progress;Accepted;High;Org line V7n;;V37 2nd;PROD542;nl;Netherlands;Juan
1-270399977;2012-02-16T15:09:43+01:00;Awaiting Assignment;Queued;High;Org line V7n;;V32 2nd;PROD542;nl;Netherlands;Earl
1-270399977;2012-02-16T15:10:10+01:00;In Progress;Accepted;High;Org line V7n;;V37 2nd;PROD542;nl;Netherlands;Juan
1-270399977;2012-03-19T09:26:32+01:00;Closed;Completed;High;Org line V7n;;V37 2nd;PROD542;nl;Netherlands;Juan
1-270427461;2008-11-13T11:01:04+01:00;In Progress;Accepted;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-270427461;2009-12-02T14:24:35+01:00;Wait;Accepted;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-270427461;2011-11-14T15:57:27+01:00;In Progress;Accepted;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-270427461;2012-01-18T10:17:14+01:00;In Progress;Accepted;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-270427461;2012-01-18T10:19:21+01:00;Closed;Completed;Low;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-310231291;2009-06-25T08:47:52+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;M18 2nd;PROD38;se;Sweden;Mats
1-310231291;2012-03-28T12:10:36+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;M18 2nd;PROD38;se;Sweden;Mats
1-310231291;2012-03-28T12:12:08+01:00;Closed;Completed;Medium;Org line A2;A2_1;M18 2nd;PROD38;se;Sweden;Mats
1-316086072;2009-08-11T07:44:51+01:00;In Progress;Accepted;Medium;Org line C;E_10;G260 2nd;PROD425;se;Sweden;Per
1-316086072;2009-08-11T07:55:12+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_10;G260 2nd;PROD425;se;Sweden;Per
1-316086072;2009-08-11T11:01:25+01:00;Assigned;Accepted;Medium;Org line C;E_10;G260 2nd;PROD425;se;Sweden;Per
1-316086072;2010-05-18T11:35:53+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_10;G260 2nd;PROD425;se;Sweden;Per
1-316086072;2010-06-16T11:00:32+01:00;In Progress;Accepted;Medium;Org line C;C_6;G152 3rd;PROD425;se;Sweden;Tony
1-316086072;2011-10-01T21:40:28+01:00;Wait;Accepted;Medium;Org line C;C_6;G152 3rd;PROD425;se;Sweden;Tony
1-316086072;2011-12-07T12:41:00+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_10;G260 2nd;PROD425;se;Sweden;Tony
1-316086072;2012-02-15T12:01:20+01:00;In Progress;Accepted;Medium;Org line C;E_10;G150 2nd;PROD425;se;Sweden;Reza
1-316086072;2012-02-19T21:57:21+01:00;Closed;Completed;Medium;Org line C;E_10;G150 2nd;PROD425;se;Sweden;Reza
1-320604521;2009-09-07T13:33:24+01:00;In Progress;Accepted;Low;Org line C;C_6;G237 3rd;PROD498;se;Sweden;Richard
1-320604521;2009-09-14T10:37:50+01:00;Unmatched;Unmatched;Low;Org line C;C_6;G237 3rd;PROD498;se;Sweden;Richard
1-320604521;2012-04-30T11:21:43+01:00;Closed;Completed;Low;Org line C;C_6;G237 3rd;PROD498;se;Sweden;Richard
1-322204195;2009-09-16T21:42:12+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_1;W16 3rd;PROD761;pl;POLAND;Adam
1-322204195;2009-09-28T10:26:19+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;W16 3rd;PROD761;pl;POLAND;Adam
1-322204195;2009-09-28T10:26:30+01:00;Wait;Accepted;Medium;Org line A2;A2_1;W16 3rd;PROD761;pl;POLAND;Adam
1-322204195;2010-04-08T11:09:22+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_1;W16 3rd;PROD761;pl;POLAND;Adam
1-322204195;2010-04-08T11:11:51+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_1;W15 2nd;PROD761;pl;POLAND;Adam
1-322204195;2010-04-12T09:05:58+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;W15 2nd;PROD761;pl;POLAND;Adam
1-322204195;2010-04-12T09:10:24+01:00;Wait;Accepted;Medium;Org line A2;A2_1;W15 2nd;PROD761;pl;POLAND;Adam
1-322204195;2011-10-18T15:09:14+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;W15 2nd;PROD761;pl;POLAND;Adam
1-322204195;2012-05-24T09:02:19+01:00;Wait;Accepted;Medium;Org line A2;A2_1;W15 2nd;PROD761;pl;POLAND;Adam
1-322204195;2012-05-24T10:03:31+01:00;Closed;Completed;Medium;Org line A2;A2_1;W15 2nd;PROD761;pl;POLAND;Adam
1-322581861;2009-09-18T11:50:02+01:00;In Progress;Accepted;Low;Org line C;E_3;L54 2nd;PROD385;se;Sweden;Stefan
1-322581861;2009-11-17T14:07:38+01:00;Unmatched;Unmatched;Low;Org line C;E_3;L54 2nd;PROD385;se;Sweden;Stefan
1-322581861;2012-03-13T11:53:35+01:00;Closed;Completed;Low;Org line C;E_3;L54 2nd;PROD385;se;Sweden;Stefan
1-322980802;2009-09-21T13:13:43+01:00;In Progress;Accepted;Medium;Org line V2;;T2 2nd;PROD631;se;Sweden;Kerstin
1-322980802;2012-02-07T13:22:11+01:00;Closed;Completed;Medium;Org line V2;;T2 2nd;PROD631;se;Sweden;Kerstin
1-323264491;2009-09-22T13:22:05+01:00;In Progress;Accepted;Low;Org line C;C_5;N1 3rd;PROD476;se;Sweden;Reine
1-323264491;2009-09-22T13:25:17+01:00;Assigned;Accepted;Low;Org line C;C_5;N1 3rd;PROD476;se;Sweden;Reine
1-323264491;2012-05-24T09:57:49+01:00;Closed;Completed;Low;Org line C;C_5;N1 3rd;PROD476;se;Sweden;Reine
1-323462732;2009-09-23T10:52:27+01:00;In Progress;Accepted;High;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Rajashekar
1-323462732;2010-01-04T09:00:17+01:00;Assigned;Accepted;High;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Rajashekar
1-323462732;2010-03-17T16:36:20+01:00;In Progress;Accepted;High;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Rajashekar
1-323462732;2010-11-09T12:35:55+01:00;Assigned;Accepted;High;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Rajashekar
1-323462732;2010-11-09T14:20:48+01:00;In Progress;Accepted;High;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Rajashekar
1-323462732;2012-03-30T07:00:47+01:00;In Progress;Accepted;High;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Kalpesh
1-323462732;2012-03-30T07:05:44+01:00;Assigned;Accepted;High;Org line A2;D_1;L50 3rd;PROD611;in;INDIA;Tise
1-323462732;2012-04-19T09:01:14+01:00;In Progress;Accepted;High;Org line A2;D_1;L50 3rd;PROD611;in;INDIA;TulasiPrasad
1-323462732;2012-04-19T09:01:38+01:00;Closed;Completed;High;Org line A2;D_1;L50 3rd;PROD611;in;INDIA;TulasiPrasad
1-327329880;2009-10-14T17:12:54+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-327329880;2009-12-02T14:24:37+01:00;Wait;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-327329880;2011-09-01T23:22:08+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-327329880;2012-02-01T09:46:54+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-327329880;2012-02-01T09:46:57+01:00;Closed;Completed;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-329451027;2009-10-26T14:47:10+01:00;Wait;Accepted;Low;Org line A2;A2_2;G357 2nd;PROD46;se;Sweden;Henrik
1-329451027;2009-10-27T09:57:26+01:00;Unmatched;Unmatched;Low;Org line A2;A2_2;G357 2nd;PROD46;se;Sweden;Henrik
1-329451027;2010-03-02T13:44:22+01:00;Awaiting Assignment;Queued;Low;Org line A2;A2_2;G357 2nd;PROD46;se;Sweden;Henrik
1-329451027;2010-03-02T13:46:10+01:00;In Progress;Accepted;Low;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Katarzyna
1-329451027;2010-03-02T13:46:18+01:00;Wait;Accepted;Low;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Katarzyna
1-329451027;2011-04-11T08:10:20+01:00;Assigned;Accepted;Low;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Damian
1-329451027;2011-04-11T08:11:48+01:00;Assigned;Accepted;Low;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Katarzyna
1-329451027;2011-11-28T08:21:27+01:00;Wait;Accepted;Low;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Katarzyna
1-329451027;2012-03-30T09:53:50+01:00;In Progress;Accepted;Low;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Katarzyna
1-329451027;2012-03-30T09:53:53+01:00;Closed;Completed;Low;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Katarzyna
1-329647261;2009-10-27T09:42:40+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD48;se;Sweden;Henrik
1-329647261;2009-10-27T09:42:49+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD48;se;Sweden;Henrik
1-329647261;2010-03-02T13:43:43+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_2;G357 2nd;PROD48;se;Sweden;Henrik
1-329647261;2010-03-02T13:44:26+01:00;In Progress;Accepted;Medium;Org line A1;;N5 2nd;PROD48;se;Brazil;Ricardo
1-329647261;2010-03-03T08:04:11+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD48;se;POLAND;Katarzyna
1-329647261;2010-06-13T21:32:03+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD48;se;POLAND;Katarzyna
1-329647261;2011-04-11T08:12:04+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD48;se;POLAND;Damian
1-329647261;2011-11-23T11:55:39+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD48;se;POLAND;Damian
1-329647261;2012-01-19T08:55:41+01:00;Closed;Completed;Medium;Org line A2;A2_2;G357 2nd;PROD48;se;POLAND;Damian
1-330634474;2009-10-30T13:49:04+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD44;se;Sweden;Henrik
1-330634474;2009-10-30T13:57:13+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD44;se;Sweden;Henrik
1-330634474;2010-03-02T13:43:50+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_2;G357 2nd;PROD44;se;Sweden;Henrik
1-330634474;2010-03-02T13:45:25+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD44;se;POLAND;Katarzyna
1-330634474;2010-03-02T13:45:37+01:00;Wait;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD44;se;POLAND;Katarzyna
1-330634474;2012-03-30T09:54:30+01:00;Closed;Completed;Medium;Org line A2;A2_2;G357 2nd;PROD44;se;POLAND;Katarzyna
1-331478885;2009-11-04T08:07:28+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;Sweden;Roger
1-331478885;2010-03-03T15:51:55+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;Sweden;Roger
1-331478885;2010-03-03T15:52:18+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Piotr
1-331478885;2010-05-24T16:04:58+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Piotr
1-331478885;2010-08-09T11:39:59+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;Sweden;Henrik
1-331478885;2012-04-02T09:18:59+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Katarzyna
1-331478885;2012-04-02T09:19:30+01:00;Closed;Completed;Medium;Org line A2;A2_2;G357 2nd;PROD46;se;POLAND;Katarzyna
1-332389008;2009-11-09T16:38:14+01:00;Awaiting Assignment;Queued;Medium;Org line V2;;T12;PROD42;se;Sweden;Ingela
1-332389008;2009-11-24T09:41:50+01:00;In Progress;Accepted;Medium;Org line V2;;T12;PROD42;se;Sweden;Ingela
1-332389008;2010-09-10T09:45:16+01:00;Wait;Accepted;Medium;Org line V2;;T12;PROD42;se;Sweden;Ingela
1-332389008;2011-03-28T10:52:46+01:00;In Progress;Accepted;Medium;Org line V2;;T12;PROD42;se;Sweden;Ingela
1-332389008;2012-01-04T15:53:26+01:00;Wait;Accepted;Medium;Org line V2;;T12;PROD42;se;Sweden;Ingela
1-332389008;2012-04-13T12:41:36+01:00;Closed;Completed;Medium;Org line V2;;T12;PROD42;se;Sweden;Ingela
1-333164156;2009-11-12T13:41:27+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;G42 3rd;PROD787;be;Belgium;Liesbet
1-333164156;2010-09-17T09:33:52+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;G42 3rd;PROD787;be;Belgium;Liesbet
1-333164156;2010-11-12T19:22:19+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_1;G42 3rd;PROD787;be;United Kingdom;Timothy
1-333164156;2010-11-23T15:10:22+01:00;Assigned;Accepted;Medium;Org line A2;A2_1;G42 3rd;PROD787;be;United Kingdom;Ian
1-333164156;2011-01-07T14:55:04+01:00;Assigned;Accepted;Medium;Org line A2;A2_1;G42 3rd;PROD787;be;United Kingdom;Alan
1-333164156;2011-01-11T17:13:42+01:00;Wait;Accepted;Medium;Org line A2;A2_1;G42 3rd;PROD787;be;United Kingdom;Alan
1-333164156;2011-05-19T14:45:16+01:00;In Progress;Accepted;Medium;Org line V11;;C8;PROD787;be;Denmark;Lars
1-333164156;2011-05-19T14:49:04+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_2;G8 2nd;PROD787;be;Belgium;Ibrahim
1-333164156;2011-08-25T14:24:01+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G8 2nd;PROD787;be;Belgium;Ibrahim
1-333164156;2011-08-25T14:24:43+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_4;G7 3rd;PROD787;be;Belgium;Ward
1-333164156;2011-08-25T14:25:33+01:00;Assigned;Accepted;Medium;Org line A2;A2_4;G7 3rd;PROD787;be;Belgium;Liesbet
1-333164156;2011-10-26T16:07:30+01:00;In Progress;Accepted;Medium;Org line A2;A2_4;G7 3rd;PROD787;be;Belgium;Liesbet
1-333164156;2012-03-30T10:45:20+01:00;Closed;Completed;Medium;Org line A2;A2_4;G7 3rd;PROD787;be;Belgium;Liesbet
1-335260940;2009-11-24T09:44:43+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;N15 2nd;PROD180;se;Belgium;Joris
1-335260940;2009-11-30T10:45:01+01:00;Awaiting Assignment;Queued;Medium;Org line A2;A2_1;N15 2nd;PROD180;se;Belgium;Joris
1-335260940;2010-03-14T13:40:26+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;N15 2nd;PROD180;se;Belgium;Joris
1-335260940;2010-03-14T13:40:36+01:00;Unmatched;Unmatched;Medium;Org line A2;A2_1;N15 2nd;PROD180;se;Belgium;Joris
1-335260940;2012-01-18T14:26:41+01:00;Closed;Completed;Medium;Org line A2;A2_1;N15 2nd;PROD180;se;Belgium;Joris
1-337229341;2009-12-04T12:10:14+01:00;Unmatched;Unmatched;Major;Org line A2;A2_3;G356 2nd;PROD147;se;Sweden;Lars
1-337229341;2010-11-29T11:52:49+01:00;Assigned;Accepted;Major;Org line A2;A2_3;G356 2nd;PROD147;se;Sweden;Lars
1-337229341;2012-04-14T16:22:00+01:00;In Progress;Accepted;Major;Org line A2;A2_3;G356 2nd;PROD147;se;Sweden;Lars
1-337229341;2012-04-14T16:22:21+01:00;Closed;Completed;Major;Org line A2;A2_3;G356 2nd;PROD147;se;Sweden;Lars
1-338946805;2009-12-14T14:29:17+01:00;In Progress;Accepted;High;Org line A2;A2_3;M21 3rd;PROD708;se;Sweden;Andre
1-338946805;2012-01-10T09:32:43+01:00;In Progress;Accepted;High;Org line A2;A2_3;M21 3rd;PROD708;se;Sweden;Andre
1-338946805;2012-01-10T09:33:57+01:00;Closed;Completed;High;Org line A2;A2_3;M21 3rd;PROD708;se;Sweden;Andre
1-339798202;2009-12-16T12:59:24+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G30 2nd;PROD191;se;INDIA;Minnie
1-339798202;2012-03-15T12:21:25+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;G30 2nd;PROD191;se;INDIA;Minnie
1-339798202;2012-03-15T12:21:47+01:00;Closed;Completed;Medium;Org line A2;A2_2;G30 2nd;PROD191;se;INDIA;Minnie
1-339889001;2009-12-16T20:47:26+01:00;In Progress;Accepted;High;Org line A2;A2_1;L28 2nd;PROD577;se;Sweden;Kenny
1-339889001;2012-03-14T13:04:51+01:00;In Progress;Accepted;High;Org line A2;A2_1;L28 2nd;PROD577;se;Sweden;Kenny
1-339889001;2012-03-14T13:07:29+01:00;Closed;Completed;High;Org line A2;A2_1;L28 2nd;PROD577;se;Sweden;Kenny
1-340984229;2009-12-22T09:09:31+01:00;In Progress;Accepted;Medium;Org line A2;A2_1;G345 2nd;PROD541;se;Sweden;Jüri
1-340984229;2009-12-22T09:25:22+01:00;Unmatched;Unmatched;Medium;Org line A2;A2_1;G345 2nd;PROD541;se;Sweden;Jüri
1-340984229;2012-02-01T12:38:06+01:00;Closed;Completed;Medium;Org line A2;A2_1;G345 2nd;PROD541;se;Sweden;Jüri
1-341002175;2009-12-22T10:56:03+01:00;Wait;Accepted;Low;Org line A2;A2_1;G345 2nd;PROD541;se;Sweden;Jüri
1-341002175;2012-02-01T12:39:50+01:00;In Progress;Accepted;Low;Org line A2;A2_1;G345 2nd;PROD541;se;Sweden;Jüri
1-341002175;2012-02-01T12:40:25+01:00;Closed;Completed;Low;Org line A2;A2_1;G345 2nd;PROD541;se;Sweden;Jüri
1-342442140;2010-01-05T16:42:20+01:00;In Progress;Accepted;Medium;Org line A2;A2_3;G354 3rd;PROD708;se;Sweden;Lena
1-342442140;2012-03-20T16:14:00+01:00;Closed;Completed;Medium;Org line A2;A2_3;G354 3rd;PROD708;se;Sweden;Lena
1-345132462;2010-01-14T10:34:54+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;2010-01-27T10:43:29+01:00;Wait;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;2010-02-03T10:20:05+01:00;Assigned;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;2010-02-22T08:33:08+01:00;Wait;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;2011-09-01T23:17:47+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;2012-02-01T10:24:17+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-345132462;2012-02-01T10:24:59+01:00;Closed;Completed;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-345255471;2010-01-14T15:02:21+01:00;In Progress;Accepted;Medium;Org line C;E_4;G88 2nd;PROD793;gb;Sweden;Mats
1-345255471;2010-01-15T15:10:22+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_4;G88 2nd;PROD793;gb;Sweden;Mats
1-345255471;2011-09-23T14:06:05+01:00;Awaiting Assignment;Queued;Medium;Org line C;E_4;G88 2nd;PROD793;gb;Sweden;Mats
1-345255471;2012-02-08T08:11:21+01:00;In Progress;Accepted;Medium;Org line C;E_4;G88 2nd;PROD793;gb;Sweden;Mats
1-345255471;2012-02-08T08:14:29+01:00;Closed;Completed;Medium;Org line C;E_4;G88 2nd;PROD793;gb;Sweden;Mats
1-347461373;2010-01-21T16:42:26+01:00;In Progress;Accepted;Major;Org line A2;A2_3;M3 2nd;PROD655;se;Sweden;Daniel
1-347461373;2012-04-11T15:38:17+01:00;In Progress;Accepted;Major;Org line A2;A2_3;M3 2nd;PROD655;se;Sweden;Daniel
1-347461373;2012-04-11T15:39:02+01:00;Closed;Completed;Major;Org line A2;A2_3;M3 2nd;PROD655;se;Sweden;Daniel
