Problem Number;Problem Latest Impact;Problem Change Date+Time;Problem Status;Problem Sub Status;Problem Involved ST Org line 3;Problem Involved ST Function Div;Problem Involved Owner ST;Product;Country;Problem Involved Action Owner Country;Problem Involved Action Owner First Name
1-182640781;Medium;2012-01-03T11:30:35+01:00;Accepted;In Progress;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2012-01-03T11:31:53+01:00;Completed;Closed;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-230541365;High;2008-05-07T17:58:51+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;High;2008-10-06T15:44:37+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;High;2009-12-02T14:24:34+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;High;2011-09-01T23:27:50+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-230541365;High;2011-09-01T23:27:55+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-236817141;Medium;2008-06-04T11:02:18+01:00;Accepted;In Progress;Org line A2;A2_2;G167 2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2009-12-02T14:24:34+01:00;Accepted;Wait;Org line A2;A2_2;G167 2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2010-08-25T10:06:45+01:00;Queued;Awaiting Assignment;Org line A2;A2_2;G167 2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2011-09-03T07:02:11+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2011-11-14T16:09:27+01:00;Accepted;Assigned;Org line A2;A2_2;G167 2nd;PROD681;cn;Sweden;Niklas
1-236817141;Medium;2012-01-05T14:08:18+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2012-01-05T14:09:00+01:00;Completed;Closed;Org line A2;A2_2;M1 2nd;PROD681;cn;Sweden;Tomas
1-270427461;Low;2008-11-13T11:01:04+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-270427461;Low;2009-12-02T14:24:35+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-270427461;Low;2011-11-14T15:57:27+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2010-01-14T10:34:54+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2010-01-27T10:43:29+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2010-02-03T10:20:05+01:00;Accepted;Assigned;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2010-02-22T08:33:08+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2011-09-01T23:17:47+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-351314317;Medium;2010-02-03T09:34:32+01:00;Accepted;In Progress;Org line A2;A2_2;G21 2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2010-02-03T09:45:18+01:00;Queued;Awaiting Assignment;Org line A2;A2_2;G21 2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2010-02-03T10:40:51+01:00;Accepted;In Progress;Org line A2;A2_2;G21 2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2010-02-03T10:40:58+01:00;Accepted;Assigned;Org line A2;A2_2;G21 2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2011-12-20T22:25:19+01:00;Accepted;In Progress;Org line A2;A2_2;G21 2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2012-01-03T13:13:02+01:00;Completed;Closed;Org line A2;A2_2;G21 2nd;PROD98;us;POLAND;Ewa
1-354039443;Medium;2011-12-28T15:05:47+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-354039443;Medium;2012-01-30T12:29:51+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-354350908;Medium;2010-02-16T11:03:41+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-354350908;Medium;2011-09-01T23:16:31+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-354376900;Medium;2010-02-16T11:04:37+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-354376900;Medium;2011-09-01T23:16:15+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-357087417;Medium;2011-12-28T16:01:17+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-357087417;Medium;2012-01-30T12:30:21+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-359841262;High;2010-03-11T14:06:34+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2010-03-11T14:10:10+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2010-03-11T14:12:19+01:00;Queued;Awaiting Assignment;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2010-03-11T14:12:35+01:00;Accepted;In Progress;Org line A2;A2_2;G4 2nd;PROD753;cn;POLAND;Pawel
1-359841262;High;2010-03-11T14:12:46+01:00;Queued;Awaiting Assignment;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2010-03-11T14:13:02+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;POLAND;Pawel
1-359841262;High;2010-07-20T08:25:18+01:00;Accepted;Assigned;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2011-09-05T08:28:42+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-360072755;Medium;2010-08-25T10:04:56+01:00;Queued;Awaiting Assignment;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Tomas
1-360072755;Medium;2011-09-03T06:49:00+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD681;se;Sweden;Tomas
1-360072755;Medium;2011-11-14T16:10:03+01:00;Accepted;Assigned;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-360072755;Medium;2012-01-12T09:23:04+01:00;Accepted;Wait;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-360464815;Medium;2010-03-15T14:40:16+01:00;Accepted;In Progress;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Panigrahy
1-360464815;Medium;2010-04-15T15:32:45+01:00;Accepted;Wait;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Panigrahy
1-360464815;Medium;2011-06-09T10:37:15+01:00;Accepted;In Progress;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Panigrahy
1-360464815;Medium;2012-02-21T14:57:48+01:00;Completed;Closed;Org line A2;D_1;L50 3rd;PROD611;in;Sweden;Panigrahy
1-363206822;Low;2010-03-26T14:03:21+01:00;Accepted;In Progress;Org line A2;A2_2;G4 2nd;PROD753;cn;POLAND;Pawel
1-363206822;Low;2010-03-26T14:05:35+01:00;Accepted;In Progress;Org line A2;A2_2;G4 2nd;PROD753;cn;POLAND;Pawel
1-363206822;Low;2010-03-26T14:05:48+01:00;Queued;Awaiting Assignment;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-363206822;Low;2011-09-05T08:28:50+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-363549934;Medium;2012-01-19T10:09:44+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-363549934;Medium;2012-01-19T10:10:41+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-364528467;Medium;2012-01-19T10:14:11+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-364528467;Medium;2012-01-19T10:14:18+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-366584206;Medium;2012-01-09T11:25:49+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-366584206;Medium;2012-01-09T11:25:51+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-366698569;High;2010-04-13T13:37:07+01:00;Accepted;In Progress;Org line G4;;S29 2nd;PROD368;se;Sweden;Jerker
1-366698569;High;2010-04-19T15:59:00+01:00;Accepted;In Progress;Org line G4;;S29 2nd;PROD368;se;Sweden;Jerker
1-366726662;Medium;2010-04-13T13:50:15+01:00;Accepted;In Progress;Org line G4;;S29 2nd;PROD368;se;Sweden;Jerker
1-366726662;Medium;2010-04-19T15:59:58+01:00;Accepted;In Progress;Org line G4;;S29 2nd;PROD368;se;Sweden;Jerker
1-366923538;Medium;2012-01-04T16:55:26+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-366923538;Medium;2012-01-30T14:05:58+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-367921041;Medium;2011-08-24T20:27:17+01:00;Queued;Awaiting Assignment;Org line B;E_10;G230 2nd;PROD262;in;INDIA;Srinivasan
1-367921041;Medium;2011-08-29T03:54:38+01:00;Accepted;In Progress;Org line B;E_10;G230 2nd;PROD262;in;INDIA;Aneesh V
1-367921041;Medium;2011-08-29T03:55:29+01:00;Accepted;Assigned;Org line B;E_10;G230 2nd;PROD262;in;INDIA;Rijin
1-367921041;Medium;2011-08-29T13:48:47+01:00;Accepted;In Progress;Org line B;E_10;G230 2nd;PROD262;in;INDIA;Rijin
1-367921041;Medium;2011-11-11T15:57:44+01:00;Accepted;Assigned;Org line B;E_10;G230 2nd;PROD262;in;INDIA;Aneesh V
1-367921041;Medium;2011-11-21T08:27:41+01:00;Accepted;Wait;Org line B;E_10;G230 2nd;PROD262;in;INDIA;Aneesh V
1-367921041;Medium;2012-02-29T17:54:59+01:00;Accepted;In Progress;Org line B;E_10;G230 2nd;PROD262;in;INDIA;Aneesh V
1-367921041;Medium;2012-02-29T17:56:23+01:00;Completed;Closed;Org line B;E_10;G230 2nd;PROD262;in;INDIA;Aneesh V
1-370436092;Major;2010-04-29T08:23:20+01:00;Accepted;In Progress;Org line C;V3_3;V42 2nd;PROD793;fr;France;Celine
1-370436092;Major;2010-04-29T08:23:56+01:00;Queued;Awaiting Assignment;Org line C;V3_3;V42 2nd;PROD793;fr;France;Celine
1-370436092;Major;2010-05-04T13:28:29+01:00;Accepted;In Progress;Org line C;V3_3;V42 2nd;PROD793;fr;France;Celine
1-370436092;Major;2010-11-09T18:47:12+01:00;Accepted;In Progress;Org line C;V3_3;V42 2nd;PROD793;fr;France;Celine
1-372029512;Low;2010-10-19T13:43:59+01:00;Accepted;Assigned;Org line C;C_6;G250 3rd;PROD660;se;Sweden;Tomas
1-372029512;Low;2011-10-20T13:21:34+01:00;Accepted;Wait;Org line C;C_6;G250 3rd;PROD660;se;Sweden;Tomas
1-372029512;Low;2012-01-30T13:18:55+01:00;Completed;Closed;Org line C;C_6;G250 3rd;PROD660;se;Sweden;Tomas
1-372978779;Medium;2012-01-30T13:58:10+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-372978779;Medium;2012-01-30T14:38:43+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-373110819;Medium;2012-02-03T07:48:56+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-373110819;Medium;2012-02-03T07:50:31+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-373268674;Medium;2012-02-03T07:51:00+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-373268674;Medium;2012-02-03T07:52:14+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-373413519;Medium;2012-01-30T12:59:22+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-373413519;Medium;2012-01-30T13:00:09+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-373413971;Medium;2012-02-03T07:54:21+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-373413971;Medium;2012-02-04T08:48:35+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-374832944;Low;2011-11-01T17:30:00+01:00;Accepted;Assigned;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-374832944;Low;2012-02-01T13:57:19+01:00;Accepted;In Progress;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-374832944;Low;2012-02-01T13:58:08+01:00;Completed;Closed;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-375644051;Medium;2010-05-25T11:42:48+01:00;Accepted;In Progress;Org line C;E_10;G276 2nd;PROD698;se;0;Sumesh
1-375644051;Medium;2010-05-25T11:49:29+01:00;Accepted;Wait;Org line C;E_10;G276 2nd;PROD698;se;0;Sumesh
1-375644051;Medium;2011-06-29T15:13:19+01:00;Accepted;In Progress;Org line C;E_10;G276 2nd;PROD698;se;0;Sumesh
1-375644051;Medium;2011-11-23T12:47:29+01:00;Queued;Awaiting Assignment;Org line C;E_10;G276 2nd;PROD698;se;Sweden;Prasad
1-378050311;High;2010-06-22T10:37:32+01:00;Accepted;In Progress;Org line C;E_7;G153 2nd;PROD153;se;Sweden;Peter
1-378050311;High;2010-07-09T10:03:29+01:00;Accepted;In Progress;Org line C;E_7;G134 2nd;PROD153;se;Sweden;Peter
1-378050311;High;2010-07-09T10:05:10+01:00;Accepted;In Progress;Org line C;E_7;G134 2nd;PROD153;se;Sweden;Peter
1-378050311;High;2010-11-08T13:35:26+01:00;Accepted;In Progress;Org line C;E_7;G134 2nd;PROD153;se;Sweden;Peter
1-378050311;High;2011-11-30T13:59:57+01:00;Queued;Awaiting Assignment;Org line F;;S1 2nd;PROD153;se;Sweden;Craig
1-378050311;High;2012-02-27T08:12:23+01:00;Accepted;In Progress;Org line F;;S1 2nd;PROD153;se;Sweden;Stefan
1-378050311;High;2012-02-27T08:13:44+01:00;Completed;Closed;Org line F;;S1 2nd;PROD153;se;Sweden;Stefan
1-378744625;Medium;2011-11-01T17:29:39+01:00;Accepted;Assigned;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-378744625;Medium;2012-02-01T13:59:45+01:00;Accepted;In Progress;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-378744625;Medium;2012-02-01T13:59:47+01:00;Completed;Closed;Org line C;E_7;G162 2nd;PROD660;in;Sweden;Anna
1-380392616;Medium;2012-02-04T09:20:39+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380392616;Medium;2012-02-04T10:19:57+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380527184;Medium;2012-02-04T10:20:08+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380527184;Medium;2012-02-04T10:31:43+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380632889;High;2010-06-16T15:09:45+01:00;Accepted;In Progress;Org line G4;;S29 2nd;PROD551;se;Sweden;David
1-380632889;High;2010-08-16T11:24:39+01:00;Queued;Awaiting Assignment;Org line G4;;S29 2nd;PROD551;se;Sweden;David
1-380654568;Medium;2011-12-30T11:09:26+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-380654568;Medium;2012-01-30T12:31:24+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-382209384;Medium;2010-06-23T13:13:51+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD681;se;Sweden;Tomas
1-382209384;Medium;2011-09-03T06:46:51+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD681;se;Sweden;Tomas
1-382209384;Medium;2011-11-14T16:10:10+01:00;Accepted;Assigned;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-382442048;Medium;2012-02-04T10:27:58+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-382442048;Medium;2012-02-04T10:30:03+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-384097130;Medium;2011-03-10T16:02:06+01:00;Accepted;Assigned;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Jonas
1-384097130;Medium;2011-03-29T09:44:20+01:00;Accepted;In Progress;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Jonas
1-384097130;Medium;2011-04-13T14:23:07+01:00;Accepted;Wait;Org line C;C_6;G141 3rd;PROD660;se;Sweden;Jonas
1-384757914;Medium;2012-02-04T10:31:58+01:00;Accepted;In Progress;Org line A2;A2_2;G21 2nd;PROD98;us;POLAND;Ewa
1-384757914;Medium;2012-02-04T10:37:38+01:00;Completed;Closed;Org line A2;A2_2;G21 2nd;PROD98;us;POLAND;Ewa
1-385201933;High;2010-07-08T03:50:41+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Joakim
1-385201933;High;2010-07-08T04:04:25+01:00;Queued;Awaiting Assignment;Org line G4;;S33 2nd;PROD374;se;Sweden;Joakim
1-385201933;High;2010-09-07T12:57:19+01:00;Accepted;Assigned;Org line G4;;S33 2nd;PROD374;se;Sweden;Per
1-385201933;High;2010-09-23T09:26:35+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Per
1-385201933;High;2010-12-05T13:27:07+01:00;Accepted;Wait;Org line G4;;S33 2nd;PROD374;se;Sweden;Per
1-385201933;High;2012-01-26T11:39:55+01:00;Completed;Closed;Org line G4;;S33 2nd;PROD374;se;Sweden;Per
1-385311756;Medium;2012-02-04T10:38:18+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-385311756;Medium;2012-02-04T10:40:10+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-388644366;Medium;2012-01-30T15:48:15+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-388644366;Medium;2012-01-30T15:48:48+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-390250582;Low;2010-08-09T16:21:55+01:00;Accepted;In Progress;Org line C;C_6;N54 3rd;PROD424;se;USA;Stephen
1-390250582;Low;2010-08-12T14:09:54+01:00;Accepted;Wait;Org line C;C_6;N54 3rd;PROD424;se;USA;Stephen
1-390250582;Low;2010-08-18T10:28:48+01:00;Accepted;Assigned;Org line C;C_6;G261 3rd;PROD424;se;USA;Stephen
1-390250582;Low;2010-08-18T14:42:02+01:00;Accepted;In Progress;Org line C;C_6;G261 3rd;PROD424;se;USA;Stephen
1-390722958;Low;2010-08-11T09:39:44+01:00;Accepted;In Progress;Org line G4;;S30 2nd;PROD412;se;Sweden;Christer
1-390722958;Low;2012-01-16T14:43:19+01:00;Accepted;Assigned;Org line G4;;S30 2nd;PROD412;se;Sweden;Christer
1-390722958;Low;2012-03-23T13:53:11+01:00;Accepted;In Progress;Org line G4;;S30 2nd;PROD412;se;Sweden;Christer
1-390722958;Low;2012-03-23T13:54:08+01:00;Completed;Closed;Org line G4;;S30 2nd;PROD412;se;Sweden;Christer
1-392812598;Medium;2012-01-04T16:58:37+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-392812598;Medium;2012-01-04T16:59:08+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-397446945;Medium;2012-01-31T09:01:21+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-397446945;Medium;2012-01-31T09:02:46+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-399013423;Medium;2010-09-06T11:04:31+01:00;Queued;Awaiting Assignment;Org line G4;;G51 2nd;PROD821;se;Sweden;Ing-Marie
1-399628501;Medium;2010-09-07T14:19:41+01:00;Accepted;In Progress;Org line G4;;S29 2nd;PROD368;se;Sweden;David
1-399628501;Medium;2010-12-02T11:45:01+01:00;Accepted;Assigned;Org line G4;;S29 2nd;PROD368;se;Sweden;David
1-402328919;Low;2010-09-16T15:39:32+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-402328919;Low;2012-05-29T09:32:02+01:00;Completed;Closed;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-403006315;Medium;2012-01-31T09:54:38+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-403006315;Medium;2012-01-31T09:59:04+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-404005175;Low;2010-09-23T15:32:09+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD304;se;Sweden;Per
1-404005175;Low;2010-12-05T13:28:02+01:00;Accepted;Wait;Org line G4;;S33 2nd;PROD304;se;Sweden;Per
1-404005175;Low;2012-01-26T12:06:11+01:00;Completed;Closed;Org line G4;;S33 2nd;PROD304;se;Sweden;Per
1-404084309;Low;2010-09-23T18:58:12+01:00;Accepted;In Progress;Org line G4;;S33 2nd;PROD374;se;Sweden;Per
1-404084309;Low;2011-01-14T14:54:47+01:00;Accepted;Wait;Org line G4;;S33 2nd;PROD374;se;Sweden;Per
1-404084309;Low;2012-02-29T15:32:37+01:00;Accepted;Wait;Org line G4;;S33 2nd;PROD374;se;Sweden;Per
1-404084309;Low;2012-02-29T15:32:38+01:00;Completed;Closed;Org line G4;;S33 2nd;PROD374;se;Sweden;Per
1-404736991;Medium;2010-09-29T08:53:12+01:00;Accepted;In Progress;Org line B;E_10;G230 2nd;PROD424;in;France;Nicolas
1-404736991;Medium;2010-11-16T11:09:29+01:00;Accepted;In Progress;Org line B;E_10;G230 2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2010-11-16T11:22:09+01:00;Accepted;In Progress;Org line B;E_10;G230 2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2010-11-19T17:26:11+01:00;Accepted;Wait;Org line B;E_10;G230 2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2011-06-30T09:22:26+01:00;Accepted;In Progress;Org line B;E_10;G230 2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2011-07-01T16:08:45+01:00;Accepted;Wait;Org line B;E_10;G230 2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2012-02-29T18:04:06+01:00;Accepted;In Progress;Org line B;E_10;G230 2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2012-02-29T18:07:28+01:00;Completed;Closed;Org line B;E_10;G230 2nd;PROD424;in;INDIA;Rijin
1-406066421;Medium;2011-06-17T10:16:19+01:00;Accepted;In Progress;Org line C;C_6;G250 3rd;PROD660;se;Sweden;Kenneth
1-406066421;Medium;2012-01-04T12:33:27+01:00;Completed;Closed;Org line C;C_6;G250 3rd;PROD660;se;Sweden;Kenneth
1-407876996;Medium;2010-10-08T16:16:15+01:00;Accepted;In Progress;Org line G4;;G51 2nd;PROD821;se;Sweden;Ing-Marie
1-407876996;Medium;2010-10-08T16:19:28+01:00;Queued;Awaiting Assignment;Org line G4;;G51 2nd;PROD821;se;Sweden;Ing-Marie
1-408853759;Medium;2012-02-04T10:50:38+01:00;Accepted;In Progress;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-408853759;Medium;2012-02-04T10:53:53+01:00;Completed;Closed;Org line G3;;G199 3rd;PROD98;us;POLAND;Ewa
1-413205820;Low;2010-10-25T12:53:47+01:00;Accepted;In Progress;Org line A2;A2_4;G113 2nd;PROD546;us;USA;Fredrik
1-413205820;Low;2011-10-05T22:07:51+01:00;Accepted;In Progress;Org line A2;A2_4;G113 2nd;PROD546;us;USA;Fredrik
1-413205820;Low;2011-10-05T22:07:59+01:00;Queued;Awaiting Assignment;Org line A2;A2_4;L23 3rd;PROD546;us;USA;Fredrik
1-413205820;Low;2011-10-06T19:05:33+01:00;Accepted;In Progress;Org line A2;A2_4;G113 2nd;PROD546;us;USA;Fredrik
1-413205820;Low;2011-12-06T21:31:33+01:00;Accepted;Assigned;Org line A2;A2_4;G113 2nd;PROD546;us;USA;Joakim
