case,event,startTime,completeTime
b1_239,Loan application rejected,31:54.7,31:54.7
b1_492,Loan  application received,00:00.0,00:00.0
b1_492,Check  application  form completeness,32:46.4,32:46.4
b1_492,Appraise property,33:37.0,33:37.0
b1_492,Check credit history,58:58.8,58:58.8
b1_492,Assess loan risk,51:45.3,51:45.3
b1_492,Assess eligibility,59:17.4,59:17.4
b1_492,Prepare acceptance pack,26:30.2,26:30.2
b1_492,Check if home insurance quote is requested,40:55.5,40:55.5
b1_492,Send acceptance pack,39:20.3,39:20.3
b1_492,Verify repayment agreement,25:44.4,25:44.4
b1_492,Approve application,32:38.3,32:38.3
b1_492,Loan  application approved,32:38.3,32:38.3
b1_139,Loan  application received,30:00.0,30:00.0
b1_139,Check  application  form completeness,30:52.9,30:52.9
b1_139,Appraise property,34:27.8,34:27.8
b1_139,Check credit history,26:47.5,26:47.5
b1_139,Assess loan risk,39:37.1,39:37.1
b1_139,Assess eligibility,19:44.5,19:44.5
b1_139,Prepare acceptance pack,46:08.7,46:08.7
b1_139,Check if home insurance quote is requested,51:08.9,51:08.9
b1_139,Send acceptance pack,30:40.6,30:40.6
b1_139,Verify repayment agreement,59:50.7,59:50.7
b1_139,Cancel application,10:15.9,10:15.9
b1_139,Loan  application canceled,10:15.9,10:15.9
b1_97,Loan  application received,30:00.0,30:00.0
b1_97,Check  application  form completeness,40:16.4,40:16.4
b1_97,Check credit history,25:03.1,25:03.1
b1_97,Appraise property,25:04.2,25:04.2
b1_97,Assess loan risk,52:13.1,52:13.1
b1_97,Assess eligibility,52:16.7,52:16.7
b1_97,Prepare acceptance pack,31:43.2,31:43.2
b1_97,Check if home insurance quote is requested,42:24.7,42:24.7
b1_97,Send acceptance pack,53:26.7,53:26.7
b1_97,Verify repayment agreement,34:04.2,34:04.2
b1_97,Approve application,57:34.2,57:34.2
b1_97,Loan  application approved,57:34.2,57:34.2
b1_437,Loan  application received,30:00.0,30:00.0
b1_437,Check  application  form completeness,44:12.9,44:12.9
b1_437,Appraise property,54:15.7,54:15.7
b1_437,Check credit history,06:05.4,06:05.4
b1_437,Assess loan risk,24:43.6,24:43.6
b1_437,Assess eligibility,59:35.8,59:35.8
b1_437,Prepare acceptance pack,13:02.3,13:02.3
b1_437,Check if home insurance quote is requested,42:05.2,42:05.2
b1_437,Send acceptance pack,45:18.4,45:18.4
b1_437,Verify repayment agreement,54:39.3,54:39.3
b1_437,Cancel application,08:08.3,08:08.3
b1_437,Loan  application canceled,08:08.3,08:08.3
b1_408,Loan  application received,00:00.0,00:00.0
b1_408,Check  application  form completeness,24:17.0,24:17.0
b1_408,Appraise property,25:59.5,25:59.5
b1_408,Check credit history,42:37.6,42:37.6
b1_408,Assess loan risk,14:57.2,14:57.2
b1_408,Assess eligibility,27:43.3,27:43.3
b1_408,Prepare acceptance pack,47:43.5,47:43.5
b1_408,Check if home insurance quote is requested,57:59.3,57:59.3
b1_408,Send acceptance pack,35:28.3,35:28.3
b1_408,Verify repayment agreement,50:14.9,50:14.9
b1_408,Cancel application,00:12.1,00:12.1
b1_408,Loan  application canceled,00:12.1,00:12.1
b1_361,Loan  application received,30:00.0,30:00.0
b1_361,Check  application  form completeness,19:45.8,19:45.8
b1_361,Check credit history,35:02.5,35:02.5
b1_361,Assess loan risk,39:28.7,39:28.7
b1_361,Appraise property,46:19.0,46:19.0
b1_361,Assess eligibility,52:57.8,52:57.8
b1_361,Prepare acceptance pack,03:25.6,03:25.6
b1_361,Check if home insurance quote is requested,04:32.2,04:32.2
b1_361,Send acceptance pack,31:42.6,31:42.6
b1_361,Verify repayment agreement,59:38.3,59:38.3
b1_361,Cancel application,32:43.9,32:43.9
b1_361,Loan  application canceled,32:43.9,32:43.9
b1_203,Loan  application received,30:00.0,30:00.0
b1_203,Check  application  form completeness,33:33.4,33:33.4
b1_203,Appraise property,49:04.5,49:04.5
b1_203,Check credit history,27:04.0,27:04.0
b1_203,Assess loan risk,04:06.7,04:06.7
b1_203,Assess eligibility,42:22.1,42:22.1
b1_203,Prepare acceptance pack,21:29.5,21:29.5
b1_203,Check if home insurance quote is requested,41:38.2,41:38.2
b1_203,Send home insurance quote,52:57.5,52:57.5
b1_203,Verify repayment agreement,45:38.1,45:38.1
b1_203,Cancel application,49:01.2,49:01.2
b1_203,Loan  application canceled,49:01.2,49:01.2
b1_486,Loan  application received,00:00.0,00:00.0
b1_486,Check  application  form completeness,13:44.2,13:44.2
b1_486,Check credit history,22:21.3,22:21.3
b1_486,Assess loan risk,22:21.7,22:21.7
b1_486,Appraise property,55:44.8,55:44.8
b1_486,Assess eligibility,55:16.4,55:16.4
b1_486,Prepare acceptance pack,04:55.8,04:55.8
b1_486,Check if home insurance quote is requested,28:55.4,28:55.4
b1_486,Send acceptance pack,49:47.7,49:47.7
b1_486,Verify repayment agreement,53:58.6,53:58.6
b1_486,Approve application,46:04.1,46:04.1
b1_486,Loan  application approved,46:04.1,46:04.1
b1_238,Loan  application received,00:00.0,00:00.0
b1_238,Check  application  form completeness,06:43.8,06:43.8
b1_238,Appraise property,23:57.1,23:57.1
b1_238,Check credit history,42:49.5,42:49.5
b1_238,Assess loan risk,04:52.6,04:52.6
b1_238,Assess eligibility,06:30.0,06:30.0
b1_238,Prepare acceptance pack,08:45.3,08:45.3
b1_238,Check if home insurance quote is requested,44:54.1,44:54.1
b1_238,Send acceptance pack,47:18.8,47:18.8
b1_238,Verify repayment agreement,00:14.3,00:14.3
b1_238,Cancel application,08:42.7,08:42.7
b1_238,Loan  application canceled,08:42.7,08:42.7
b1_469,Loan  application received,30:00.0,30:00.0
b1_469,Check  application  form completeness,42:50.6,42:50.6
b1_469,Check credit history,58:54.5,58:54.5
b1_469,Appraise property,05:44.1,05:44.1
b1_469,Assess loan risk,07:34.7,07:34.7
b1_469,Assess eligibility,22:29.4,22:29.4
b1_469,Prepare acceptance pack,23:53.5,23:53.5
b1_469,Check if home insurance quote is requested,01:58.4,01:58.4
b1_469,Send acceptance pack,22:09.5,22:09.5
b1_469,Verify repayment agreement,51:08.2,51:08.2
b1_469,Approve application,18:27.4,18:27.4
b1_469,Loan  application approved,18:27.4,18:27.4
b1_421,Loan  application received,30:00.0,30:00.0
b1_421,Check  application  form completeness,26:31.4,26:31.4
b1_421,Appraise property,32:00.5,32:00.5
b1_421,Check credit history,57:12.0,57:12.0
b1_421,Assess loan risk,19:59.6,19:59.6
b1_421,Assess eligibility,51:12.2,51:12.2
b1_421,Prepare acceptance pack,06:05.6,06:05.6
b1_421,Check if home insurance quote is requested,16:29.2,16:29.2
b1_421,Send home insurance quote,10:47.8,10:47.8
b1_421,Verify repayment agreement,10:52.1,10:52.1
b1_421,Approve application,13:24.4,13:24.4
b1_421,Loan  application approved,13:24.4,13:24.4
b1_24,Loan  application received,00:00.0,00:00.0
b1_24,Check  application  form completeness,03:08.5,03:08.5
b1_24,Return application back to applicant,38:36.9,38:36.9
b1_24,Receive updated application,44:41.3,44:41.3
b1_24,Check  application  form completeness,50:33.2,50:33.2
b1_24,Appraise property,13:11.5,13:11.5
b1_24,Check credit history,20:06.0,20:06.0
b1_24,Assess loan risk,48:23.2,48:23.2
b1_24,Assess eligibility,06:25.2,06:25.2
b1_24,Prepare acceptance pack,37:07.2,37:07.2
b1_24,Check if home insurance quote is requested,51:05.2,51:05.2
b1_24,Send acceptance pack,51:46.8,51:46.8
b1_24,Verify repayment agreement,04:36.7,04:36.7
b1_24,Cancel application,27:00.5,27:00.5
b1_24,Loan  application canceled,27:00.5,27:00.5
b1_251,Loan  application received,30:00.0,30:00.0
b1_251,Check  application  form completeness,33:32.0,33:32.0
b1_251,Appraise property,37:45.6,37:45.6
b1_251,Check credit history,39:08.6,39:08.6
b1_251,Assess loan risk,57:14.6,57:14.6
b1_251,Assess eligibility,25:42.8,25:42.8
b1_251,Prepare acceptance pack,38:26.7,38:26.7
b1_251,Check if home insurance quote is requested,07:55.6,07:55.6
b1_251,Send home insurance quote,07:59.3,07:59.3
b1_251,Verify repayment agreement,26:01.5,26:01.5
b1_251,Cancel application,26:21.4,26:21.4
b1_251,Loan  application canceled,26:21.4,26:21.4
b1_82,Loan  application received,00:00.0,00:00.0
b1_82,Check  application  form completeness,09:46.4,09:46.4
b1_82,Appraise property,23:22.0,23:22.0
b1_82,Check credit history,03:02.5,03:02.5
b1_82,Assess loan risk,46:40.1,46:40.1
b1_82,Assess eligibility,28:40.9,28:40.9
b1_82,Prepare acceptance pack,36:21.9,36:21.9
b1_82,Check if home insurance quote is requested,38:55.9,38:55.9
b1_82,Send acceptance pack,59:15.6,59:15.6
b1_82,Verify repayment agreement,01:17.2,01:17.2
b1_82,Approve application,43:41.3,43:41.3
b1_82,Loan  application approved,43:41.3,43:41.3
b1_328,Loan  application received,00:00.0,00:00.0
b1_328,Check  application  form completeness,28:36.7,28:36.7
b1_328,Appraise property,42:29.3,42:29.3
b1_328,Check credit history,49:13.7,49:13.7
b1_328,Assess loan risk,51:05.2,51:05.2
b1_328,Assess eligibility,04:58.8,04:58.8
b1_328,Prepare acceptance pack,07:27.9,07:27.9
b1_328,Check if home insurance quote is requested,12:42.7,12:42.7
b1_328,Send home insurance quote,15:39.9,15:39.9
b1_328,Verify repayment agreement,22:12.6,22:12.6
b1_328,Approve application,31:11.1,31:11.1
b1_328,Loan  application approved,31:11.1,31:11.1
b1_90,Loan  application received,00:00.0,00:00.0
b1_90,Check  application  form completeness,02:26.4,02:26.4
b1_90,Appraise property,04:14.9,04:14.9
b1_90,Check credit history,09:03.2,09:03.2
b1_90,Assess loan risk,10:28.3,10:28.3
b1_90,Assess eligibility,57:03.9,57:03.9
b1_90,Prepare acceptance pack,58:52.9,58:52.9
b1_90,Check if home insurance quote is requested,18:46.6,18:46.6
b1_90,Send acceptance pack,19:29.9,19:29.9
b1_90,Verify repayment agreement,22:42.2,22:42.2
b1_90,Cancel application,20:21.8,20:21.8
b1_90,Loan  application canceled,20:21.8,20:21.8
b1_172,Loan  application received,00:00.0,00:00.0
b1_172,Check  application  form completeness,17:46.5,17:46.5
b1_172,Appraise property,24:38.0,24:38.0
b1_172,Check credit history,27:44.5,27:44.5
b1_172,Assess loan risk,05:11.4,05:11.4
b1_172,Assess eligibility,08:23.9,08:23.9
b1_172,Prepare acceptance pack,26:44.8,26:44.8
b1_172,Check if home insurance quote is requested,43:38.5,43:38.5
b1_172,Send home insurance quote,10:30.6,10:30.6
b1_172,Verify repayment agreement,03:07.7,03:07.7
b1_172,Cancel application,13:02.3,13:02.3
b1_172,Loan  application canceled,13:02.3,13:02.3
b1_264,Loan  application received,00:00.0,00:00.0
b1_264,Check  application  form completeness,44:56.4,44:56.4
b1_264,Return application back to applicant,58:10.0,58:10.0
b1_264,Receive updated application,59:27.6,59:27.6
b1_264,Check  application  form completeness,14:48.1,14:48.1
b1_264,Appraise property,21:44.0,21:44.0
b1_264,Check credit history,37:55.6,37:55.6
b1_264,Assess loan risk,49:16.9,49:16.9
b1_264,Assess eligibility,01:44.4,01:44.4
b1_264,Reject application,03:27.9,03:27.9
b1_264,Loan application rejected,03:27.9,03:27.9
b1_78,Loan  application received,00:00.0,00:00.0
b1_78,Check  application  form completeness,26:03.4,26:03.4
b1_78,Appraise property,30:02.5,30:02.5
b1_78,Check credit history,17:14.6,17:14.6
b1_78,Assess loan risk,17:44.7,17:44.7
